collision_time,collider_a,collider_b,contact_x,contact_y,contact_z
29.71,Elephant,cube,7.445,1.650,5.944
29.82,Elephant,cube,7.445,1.650,5.971
29.92,Elephant,cube,7.445,1.650,5.996
30.02,Elephant,cube,7.445,1.650,6.021
30.12,Elephant,cube,7.445,1.650,6.045
30.22,Elephant,cube,7.445,1.650,6.069
30.32,Elephant,cube,7.445,1.650,6.092
30.42,Elephant,cube,7.445,1.650,6.114
30.52,Elephant,cube,7.445,1.650,6.136
30.63,Elephant,cube,7.445,1.650,6.157
30.73,Elephant,cube,7.445,2.090,6.184
30.73,Elephant,cube,7.445,1.650,6.180
30.73,Elephant,cube,7.445,2.090,6.184
30.75,Elephant,cube,7.445,2.090,6.184
30.75,Elephant,cube,7.445,2.090,6.187
30.76,Elephant,cube,7.445,2.090,6.187
30.76,Elephant,cube,7.445,2.090,6.187
30.77,Elephant,cube,7.445,2.090,6.187
30.77,Elephant,cube,7.445,2.090,6.187
30.77,Elephant,cube,7.445,2.090,6.187
30.78,Elephant,cube,7.445,2.090,6.187
30.78,Elephant,cube,7.445,2.090,6.187
30.78,Elephant,cube,7.445,2.090,6.187
30.79,Elephant,cube,7.445,2.090,6.188
30.79,Elephant,cube,7.445,2.090,6.188
30.79,Elephant,cube,7.445,2.090,6.188
30.80,Elephant,cube,7.445,2.090,6.188
30.80,Elephant,cube,7.445,2.090,6.188
30.81,Elephant,cube,7.445,2.090,6.188
30.81,Elephant,cube,7.445,2.090,6.188
30.82,Elephant,cube,7.445,2.090,6.189
30.82,Elephant,cube,7.445,2.090,6.191
30.82,Elephant,cube,7.445,2.090,6.191
30.83,Elephant,cube,7.445,2.090,6.191
30.83,Elephant,cube,7.445,2.090,6.191
30.83,Elephant,cube,7.445,1.650,6.187
30.83,Elephant,cube,7.445,2.090,6.191
30.85,Elephant,cube,7.445,2.090,6.191
30.85,Elephant,cube,7.445,2.090,6.194
30.86,Elephant,cube,7.445,2.090,6.194
30.86,Elephant,cube,7.445,2.090,6.194
30.86,Elephant,cube,7.445,2.090,6.194
30.87,Elephant,cube,7.445,2.090,6.194
30.87,Elephant,cube,7.445,2.090,6.194
30.88,Elephant,cube,7.445,2.090,6.194
30.88,Elephant,cube,7.445,2.090,6.194
30.88,Elephant,cube,7.445,2.090,6.194
30.89,Elephant,cube,7.445,2.090,6.194
30.89,Elephant,cube,7.445,2.090,6.194
30.89,Elephant,cube,7.445,2.090,6.194
