time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.08,-0.0055,1.8039,-5.8934,5.8700,1.5249,5.3101,12.6537,0.0000,0.00,True,-1.2827,-1.7103,-1.6982,1.2924,1.7941,3.3793,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0249,6.8101
0.08,-0.0055,1.8039,-5.8934,-5.3467,1.5278,5.3095,12.4141,0.0000,0.00,True,-1.2827,-1.7103,-1.6982,1.2924,1.7941,3.3793,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8496,0.0304,3.8098,-3.8439,3.0252,6.8093
0.08,-0.0055,1.8039,-5.8934,1.3002,1.5249,14.7902,20.7266,0.0000,0.00,True,-1.2827,-1.7103,-1.6982,1.2924,1.7941,3.3793,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-0.1998,0.0251,13.2901,2.8003,3.0248,16.2903
0.18,-0.0279,1.8010,-5.8909,5.8700,1.5250,5.3100,12.6618,0.2277,0.00,True,-1.4001,-1.7105,-1.7220,1.4288,1.8001,3.4026,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.18,-0.0279,1.8010,-5.8909,-5.3499,1.5250,5.3098,12.4039,0.1941,33.90,True,-1.4001,-1.7105,-1.7220,1.4288,1.8001,3.4026,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0249,3.8098,-3.8499,3.0251,6.8098
0.18,-0.0279,1.8010,-5.8909,1.3001,1.5250,14.7901,20.7254,0.2268,0.00,True,-1.4001,-1.7105,-1.7220,1.4288,1.8001,3.4026,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-0.1999,0.0250,13.2901,2.8001,3.0250,16.2901
0.29,-0.0579,1.8184,-5.8884,5.8700,1.5250,5.3100,12.6740,0.3473,0.00,True,-1.5051,-1.7106,-1.7633,1.5113,1.8100,3.4256,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.29,-0.0579,1.8184,-5.8884,-5.3498,1.5250,5.3099,12.3892,0.3477,0.00,True,-1.5051,-1.7106,-1.7633,1.5113,1.8100,3.4256,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.29,-0.0579,1.8184,-5.8884,1.3001,1.5250,14.7901,20.7251,0.3473,0.00,True,-1.5051,-1.7106,-1.7633,1.5113,1.8100,3.4256,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-0.1999,0.0250,13.2901,2.8001,3.0250,16.2901
0.39,-0.0832,1.8208,-5.8898,5.8700,1.5250,5.3100,12.6872,0.2550,0.00,True,-1.5538,-1.7158,-1.7927,1.4950,1.7984,3.4314,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.39,-0.0832,1.8208,-5.8898,-5.3498,1.5250,5.3099,12.3797,0.2550,0.00,True,-1.5538,-1.7158,-1.7927,1.4950,1.7984,3.4314,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.39,-0.0832,1.8208,-5.8898,1.3001,1.5250,14.7901,20.7282,0.2550,0.00,True,-1.5538,-1.7158,-1.7927,1.4950,1.7984,3.4314,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-0.1999,0.0250,13.2901,2.8001,3.0250,16.2901
0.49,-0.0799,1.7749,-5.8887,5.8700,1.5250,5.3100,12.6837,0.4606,0.00,True,-1.5525,-1.7302,-1.7846,1.4946,1.7332,3.4091,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.49,-0.0799,1.7749,-5.8887,-5.3498,1.5250,5.3099,12.3791,0.4606,0.00,True,-1.5525,-1.7302,-1.7846,1.4946,1.7332,3.4091,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.49,-0.0799,1.7749,-5.8887,1.3001,1.5250,14.7901,20.7263,0.4606,0.00,True,-1.5525,-1.7302,-1.7846,1.4946,1.7332,3.4091,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-0.1999,0.0250,13.2901,2.8001,3.0250,16.2901
0.59,-0.0584,1.7160,-5.8473,5.8700,1.5250,5.3100,12.6360,0.7506,0.00,True,-1.5107,-1.7366,-1.7508,1.5092,1.6693,3.3781,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.59,-0.0584,1.7160,-5.8473,-5.3498,1.5250,5.3099,12.3499,0.7506,0.00,True,-1.5107,-1.7366,-1.7508,1.5092,1.6693,3.3781,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.59,-0.0584,1.7160,-5.8473,1.3001,1.5250,14.7901,20.6830,0.7506,0.00,True,-1.5107,-1.7366,-1.7508,1.5092,1.6693,3.3781,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-0.1999,0.0250,13.2901,2.8001,3.0250,16.2901
0.69,-0.0259,1.6586,-5.7842,5.8700,1.5250,5.3100,12.5643,0.9133,0.00,True,-1.4186,-1.7180,-1.7186,1.4559,1.6258,3.3356,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.69,-0.0259,1.6586,-5.7842,-5.3498,1.5250,5.3099,12.3061,0.9133,0.00,True,-1.4186,-1.7180,-1.7186,1.4559,1.6258,3.3356,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.69,-0.0259,1.6586,-5.7842,1.3001,1.5250,14.7901,20.6175,0.9133,0.00,True,-1.4186,-1.7180,-1.7186,1.4559,1.6258,3.3356,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-0.1999,0.0250,13.2901,2.8001,3.0250,16.2901
0.79,0.0070,1.5982,-5.6931,5.8700,1.5250,5.3100,12.4679,1.1414,0.00,True,-1.3045,-1.7149,-1.8144,1.3231,1.5798,3.2794,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
