Context,Behavior,Definition,Detail Page URL
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Allo-Check-Tusk (1),"Using the tip of the trunk, or its fingers, to feel the tusks of another elephant. Typically observed between males during Sparring when they appear to examine the size, length sharpness of combatant's tusks.References:Poole & Granli 2021.(Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=4&cvid=MTM4Ng==
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Allo-Trunk-Sucking (0),"An elephant grasping the trunk of another elephant, placing it in his or her mouth and sucking on it. A rare and possibly idiosyncratic behavior filmed on one occasion by an adolescent female toward her younger male sibling.References:Poole & Granli 2021. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=6&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,As-Touched-Rumble (3),"A short (1-2 seconds in duration) rumble made by an infant or calf when approached and or touched in a caring way by an older member of its family. This rumble has a rising and falling 'aauurrrrr' quality and is typically soft and tonal, though may sometimes be louder and more noisy. We refer to rumbles given in this context as As-Touched-Rumbles. The calling infant or calf engages Head-Raising and Ear-Lifting as it calls, behavior that is comparable to that exhibited by older individuals in the context of a Little-Greeting-Rumble and the quality of the As-Touched-Rumble is also similar.Like Little-Greeting-Rumbles, the calls given by calves in the context of receiving an affiliative gesture are highly variable, ranging from rather soft, unmodulated tonal rumbles to louder, more modulated and sometimes rather noisy rumbles. We believe that the difference, in both call types, is an expression of the intensity of emotion experienced by the calling individual. We postulate that the As-Touched-Rumble is a precursor to the Little-Greeting-Rumble.References:Poole 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=7&cvid=MTIxNywxMjE4LDEyMTk=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Back-Toward (6),"Turning to present posterior and walking backward toward another or other, often higher-ranking, elephant(s). Back-Toward may be observed when individuals (usually adult/adolescent and juvenile females) attempt to join or move to a more central or advantageous position in a gathered group such as during a Bonding-Ceremony, when Bunching, when joining a Resting group, or when an adolescent female approaches a mother with a newborn. Males may engage in Back-Toward during Social Play with a larger partner.Back-Toward may sometimes be a gesture of appeasement to avoid an aggressive response by a larger elephant, or, within families, as a signal of respect - such as when joining a Resting group, or, in the case of Bunching it may be a way to keep eyes, ears and tusks pointed toward the perceived threat. All age sex groups may Back-Toward the carcass or bones of a dead elephant.References:Moss 1988; Moss 1992: 130; Poole 1996: 159; Kahl & Armstrong 2000; Langbauer 2000; O’Connell-Rodwell et al 2011; Poole & Granli 2003; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=9&cvid=MTE2LDg2NSw4NjYsODY3LDg2OCw4Njk=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Body-Contact (1),Standing or resting with the body purposefully touching another. Closely related individuals often rest while intentionally making body contact with or leaning against one another.References:Poole & Granli 2003 [Body-Touch]. (Full reference list),https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=17&cvid=MTYzNw==
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Bonding-Rumble (0),"Bonding-Rumble is a general term to refer to Rumbles that occur during Bonding-Ceremonies that have not been determined to be, specifically, Greeting-Rumbles, Estrous-Rumbles, or Female-Chorus-Rumbles. In other words they include the powerful overlapping Rumbles that occur during a Mating-Pandemonium, the birth of a calf, or during the formation of a Coalition or during High-Fiving or an End-Zone-Dance.References:Poole 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=353&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Defecating (0),"Passing faeces. As a component of Maintenance, Defecating is observed in all age sex groups. In the other contexts in which it is observed Defecating may be observed in moments of high arousal particularly among adult and juvenile females during intense social interactions.References:Moss 1988; Poole et al 1988; Poole, 1996: 275; Poole & Granli 2003. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=63&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Ear-Brush (9),"Purposefully brushing a (usually) flared ear against the face, head or body of another.References:O’Connell-Rodwell et al 2011 [Ear on face & Ear on rear]; Goldenberg & Wittemyer 2018. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=71&cvid=ODI5LDgzMCw4MzEsODMyLDgzMywxOTc2LDE5NzcsMTk3OCwyNzMw
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Ear-Folding (2),"Forcing the lower half of ear under and back so that a prominent horizontal ridge or fold appears across the ear. In an Aggressive or Attacking context it may be used by male and female adults, adolescents, juveniles and calves in combination with a variety of other threats such as Head-High, Look-At, Advance-Toward, Charge, etc. to emphasize that an elephant “means business.”Ear-Folding can be either a short or a persistent display, the later indicating a ""foul mood"" or ""testiness"". Ear-Folding that is used in association with Head-Raising, Ear-Lifting or Rapid-Ear-Flapping is part of an Affiliative or Coalition Building display exhibited by adult, adolescent and juvenile females.References:Poole 1982: 86, illustration 6.1; Poole, 1987a; Moss 1988; Poole 1989a; Poole 1996: 75, 77, 128, 133; Poole & Granli 2003; Poole & Granli 2011; O’Connell-Rodwell et al 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=73&cvid=MTQwLDE0MQ==
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Ear-Lifting (6),"Spreading and Lifting the ears so that the ear tops are lifted above the top of the head. An elephant normally holds its ears in a relaxed position such that they rest approximately 10-30cm from the side of the body and lie such that the tops of the ears are basically in line with the top of the head. In this relaxed position the ears do not appear stiff or tense, lifted, spread, or pressed against the body. The posture can be most clearly seen when adult, adolescent and juvenile female elephants engage in Little-Greetings-Rumbles or Coo-Rumbles, as they touch infants.Calves and Infants, likewise, may be observed to Ear-Lift as they are touched and respond with an As-Touched-Rumbles. Adult, adolescent, and juvenile females also display Ear-Lifting during more intense social interactions (e.g. Matings, Births, Greetings, Greeting-Ceremonies, Coalition formation etc.). During these highly aroused contexts Ear-Lifting is combined with Rapid-Ear-Flapping.References:Poole et al 1988; Poole 1996: 93; Poole 1999a; Poole & Granli 2003; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=74&cvid=ODM0LDgzNSw4MzYsODM3LDgzOCw4Mzk=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Ear-Secretion (3),"A sudden squirting or streaming of secretion from the ear during events that cause high arousal, such as the birth of a baby, or extreme unease, such as the sudden sounds of predators nearby. It is not clear at this stage how long such secretions last, their function or whether elephant make use of this secretion as a signal.References:Poole & Granli 2003; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=75&cvid=ODQwLDg0MSw4NDI=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Ears-Stiff (0),"An elephant holding his or her ears tensed, cocked or stiffened. An elephant normally holds its ears in a relaxed position such that they rest approximately 10-30cm from the side of the body with the tops of the ears level with the top of the head. In this relaxed position the ears do not appear stiff or tense, lifted, spread, or pressed against the body. Different age sex group may be observed to stiffen their ears in different contexts.In general, Ears-Stiff indicates than an elephant is Attentive, Vigilant or engaged in interaction with another elephant. Listening, Freezing, Contemplating elephants all display Ears-Stiff. Ears-Stiff is a component of the Musth-Constellation as well as Wariness in Estrous-Females.References:Poole and Moss 1981; Poole 1982: 77, illustration 4.7; Poole 1987a: 298 drawing; Poole 1999a; Poole & Granli 2011 [Ears-Tense, Ear-Cocking, Ear-Stiffening]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=80&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Eyes-Wide (0),"Opening the eyes wide, sometime exposing the ‘white’ of the eye. An elephant normally casts is eyes downward. An alarmed, frightened or highly excited elephant may open its eyes wide. Eye-Widening may also be seen during intense Affiliative and excited Social Play contexts.References:Poole 1996: 41, 54; 154, 155; Poole 2000a; Poole & Granli 2003; Poole & Granli 2004; Poole & Granli 2011 [Eye-Widening]. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=91&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Follow (0),"Walking after, trying to maintain close proximity, though not necessarily physical contact, to another individual.In a Calf Reassurance & Protection context infants and calves typically Follow their mothers or other care-givers. Infants are born with an innate drive to Follow and they walk after the wrong individual. Mothers and allomothers are, thus, primarily responsible for maintaining proximity to very young calves and are often seen to Follow and Retrieve them. In an Affiliative or Movement Space & Leadership context members of a family Follow the lead of adult females, as in during Movement-Initiation. During Social-Play elephants may Follow one another as they cavort and Spar with one another. In the Context of Courtship a guarding male may Follow an estrous female, or an estrous female may Follow a high ranking male. In this particular case, where the distance between the pair and who is responsible for mainting proximity, changes in a predictable way depending on how many competitors there are and as the course of estrus progresses, the behavior is referred to as Maintain-Proximity.References:Lee 1987, Poole 1989b, 2011, Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=358&cvid=
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Food-Sharing (1),"An individual sharing food with another or others. For example: a male (typically in musth) sharing a tree he has felled with others (usually females and calves); an individual purposefully dropping food, offering food, or putting food into the mouth of another individual who is begging vocally or gesturally (see Solicit-Food) or to one who is incapacitated (e.g. missing most of trunk due to snaring), sick, dying or dead (for the latter see Body-Feeding).References:Poole & Granli 2021. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=100&cvid=Mzk2
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Grasp-Tail (1),"Using the trunk to briefly grasp the tail of another. This is perhaps most commonly observed during social play, but males may sometimes grasp the tail of an estrous female, and mothers may hold the tails of their infants apparently to get their attention.References:Moss 1988; Poole 1996: p 274; Poole & Granli 2003; Poole & Granli 2011. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=112&cvid=MTIwMQ==
AffiliativeBehaviors relating to the formation and maintenance of social bonds with other elephants.,Grasp-Trunk (0),"Using the trunk to grasp the trunk of another. This is most often observed when mothers and allomothers grasp the trunk of a newborn, apparently to get its attention back to the mother or allomother, for instance to induce it to Follow, or to Suckle, or to Help it. For example, we observed an allomother grasp and lift the trunk of an infant who was submerged and appeared to be drowning; a mother who grasped the trunk of an infant who was sneezing; as well as mothers who grasped the trunks and covered the mouths of calves Crying in distress. Mothers and allomothers are often observed to grasp the trunks of newborns apparently directing them to Suckle, using the behavior to lift the head of the infant toward the breast, or to Follow, doing the same together with a Trunk-Sweep motion and steps forward. One video shows a male moving an infant out of the way by grasping it by the trunk in an attempt to move it to the side. Grasp-Trunk has also been observed in an unusual situation in which an adolescent female repeatedly grasped the trunk of a younger brother to engage in Allo-Trunk-Sucking. Grasp-Trunk is also often observed in the context of Social Play. Grasp-Trunk may also be observed when elephants are highly aroused and gathered together in a Bonding-Ceremony, when Reach-Touch may become a brief Grasp-Trunk.References:Poole 2011, Poole & Granli 2021. (Full reference list)",https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=113&cvid=
