collision_time,collider_a,collider_b,contact_x,contact_y,contact_z
23.69,Elephant,cube (1),-3.775,2.090,1.724
23.69,Elephant,cube (1),-3.775,2.090,1.724
23.70,Elephant,cube (1),-3.775,2.090,1.724
23.70,Elephant,cube (1),-3.775,2.090,1.724
23.70,Elephant,cube (1),-3.775,2.090,1.724
23.70,Elephant,cube (1),-3.775,2.090,1.724
23.71,Elephant,cube (1),-3.775,2.090,1.724
23.71,Elephant,cube (1),-3.775,2.090,1.724
23.71,Elephant,cube (1),-3.775,2.090,1.724
23.71,Elephant,cube (1),-3.775,2.090,1.724
23.72,Elephant,cube (1),-3.775,2.090,1.724
23.72,Elephant,cube (1),-3.775,2.090,1.724
23.72,Elephant,cube (1),-3.775,2.090,1.724
23.73,Elephant,cube (1),-3.775,2.090,1.724
23.73,Elephant,cube (1),-3.775,2.090,1.724
23.74,Elephant,cube (1),-3.775,2.090,1.724
23.74,Elephant,cube (1),-3.775,2.090,1.724
23.74,Elephant,cube (1),-3.775,2.090,1.724
23.74,Elephant,cube (1),-3.775,2.090,1.724
23.75,Elephant,cube (1),-3.775,2.090,1.724
23.75,Elephant,cube (1),-3.775,2.090,1.724
23.75,Elephant,cube (1),-3.775,2.090,1.724
23.76,Elephant,cube (1),-3.775,2.090,1.724
23.76,Elephant,cube (1),-3.775,2.090,1.724
23.76,Elephant,cube (1),-3.775,2.090,1.724
23.78,Elephant,cube (1),-3.775,2.090,1.724
23.78,Elephant,cube (1),-3.775,2.090,1.724
23.78,Elephant,cube (1),-3.775,2.090,1.724
23.79,Elephant,cube (1),-3.775,2.090,1.724
23.79,Elephant,cube (1),-3.775,2.090,1.724
23.80,Elephant,cube (1),-3.775,2.090,1.724
23.80,Elephant,cube (1),-3.775,2.090,1.724
23.80,Elephant,cube (1),-3.775,2.090,1.724
23.81,Elephant,cube (1),-3.775,2.090,1.724
23.81,Elephant,cube (1),-3.775,2.090,1.724
23.82,Elephant,cube (1),-3.775,2.090,1.724
23.82,Elephant,cube (1),-3.775,2.090,1.724
23.83,Elephant,cube (1),-3.775,2.090,1.724
23.83,Elephant,cube (1),-3.775,2.090,1.724
23.83,Elephant,cube (1),-3.775,2.090,1.724
23.84,Elephant,cube (1),-3.775,2.090,1.724
23.84,Elephant,cube (1),-3.775,2.090,1.724
23.84,Elephant,cube (1),-3.775,2.090,1.724
23.84,Elephant,cube (1),-3.775,2.090,1.724
23.85,Elephant,cube (1),-3.775,2.090,1.724
23.85,Elephant,cube (1),-3.775,2.090,1.724
23.85,Elephant,cube (1),-3.775,2.090,1.724
23.86,Elephant,cube (1),-3.775,2.090,1.724
23.86,Elephant,cube (1),-3.775,2.090,1.724
23.86,Elephant,cube (1),-3.775,2.090,1.724
23.86,Elephant,cube (1),-3.775,2.090,1.724
23.88,Elephant,cube (1),-3.775,2.090,1.724
