time,centroidA_x,centroidA_y,centroidA_z,centroidB_x,centroidB_y,centroidB_z,distance,rel_velocity,angle_deg,bounds_intersect,boundsA_min_x,boundsA_min_y,boundsA_min_z,boundsA_max_x,boundsA_max_y,boundsA_max_z,boundsB_min_x,boundsB_min_y,boundsB_min_z,boundsB_max_x,boundsB_max_y,boundsB_max_z,boundsB_min_world_x,boundsB_min_world_y,boundsB_min_world_z,boundsB_max_world_x,boundsB_max_world_y,boundsB_max_world_z
0.08,-0.0010,1.8329,-5.8937,5.8700,1.5249,5.3101,12.6526,0.0000,0.00,True,-1.2623,-1.7101,-1.6980,1.2643,1.7935,3.3739,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0249,6.8101
0.08,-0.0010,1.8329,-5.8937,-5.3467,1.5278,5.3095,12.4171,0.0000,0.00,True,-1.2623,-1.7101,-1.6980,1.2643,1.7935,3.3739,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8496,0.0304,3.8098,-3.8439,3.0252,6.8093
0.18,-0.0279,1.8010,-5.8909,5.8700,1.5250,5.3100,12.6618,0.4192,0.00,True,-1.3998,-1.7105,-1.7219,1.4285,1.8001,3.4026,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.18,-0.0279,1.8010,-5.8909,-5.3499,1.5250,5.3098,12.4039,0.3771,8.49,True,-1.3998,-1.7105,-1.7219,1.4285,1.8001,3.4026,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0249,3.8098,-3.8499,3.0251,6.8098
0.28,-0.0565,1.8176,-5.8885,5.8700,1.5250,5.3100,12.6734,0.3318,0.00,True,-1.5015,-1.7106,-1.7616,1.5101,1.8096,3.4248,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.28,-0.0565,1.8176,-5.8885,-5.3498,1.5250,5.3099,12.3898,0.3323,0.00,True,-1.5015,-1.7106,-1.7616,1.5101,1.8096,3.4248,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.39,-0.0766,1.8056,-5.8917,5.8700,1.5250,5.3100,12.6854,0.2365,0.00,True,-1.5459,-1.7195,-1.7857,1.5034,1.7823,3.4241,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.39,-0.0766,1.8056,-5.8917,-5.3498,1.5250,5.3099,12.3839,0.2365,0.00,True,-1.5459,-1.7195,-1.7857,1.5034,1.7823,3.4241,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
0.49,-0.0720,1.7580,-5.8688,5.8700,1.5250,5.3100,12.6621,0.5301,0.00,True,-1.5443,-1.7328,-1.7771,1.5070,1.7165,3.4006,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,4.3700,0.0250,3.8100,7.3700,3.0250,6.8100
0.49,-0.0720,1.7580,-5.8688,-5.3498,1.5250,5.3099,12.3642,0.5301,0.00,True,-1.5443,-1.7328,-1.7771,1.5070,1.7165,3.4006,-0.5000,-0.5000,-0.5000,0.5000,0.5000,0.5000,-6.8498,0.0250,3.8098,-3.8499,3.0250,6.8099
