time,elephant_Snout_bone_x,elephant_Snout_bone_y,elephant_Snout_bone_z,elephant_Head_bone_x,elephant_Head_bone_y,elephant_Head_bone_z,elephant_Trunk1_bone_x,elephant_Trunk1_bone_y,elephant_Trunk1_bone_z,elephant_r_Ear1_bone_x,elephant_r_Ear1_bone_y,elephant_r_Ear1_bone_z,elephant_Mandible_bone_x,elephant_Mandible_bone_y,elephant_Mandible_bone_z,elephant_Jaw_bone_x,elephant_Jaw_bone_y,elephant_Jaw_bone_z,elephant_r_Humerus_bone_x,elephant_r_Humerus_bone_y,elephant_r_Humerus_bone_z,elephant_Spine1_bone_x,elephant_Spine1_bone_y,elephant_Spine1_bone_z,elephant_Spine2_bone_x,elephant_Spine2_bone_y,elephant_Spine2_bone_z,elephant_Pelvis_bone_x,elephant_Pelvis_bone_y,elephant_Pelvis_bone_z,elephant_Spine3_bone_x,elephant_Spine3_bone_y,elephant_Spine3_bone_z,elephant_Trunk7_bone_x,elephant_Trunk7_bone_y,elephant_Trunk7_bone_z,elephant_Trunk6_bone_x,elephant_Trunk6_bone_y,elephant_Trunk6_bone_z,elephant_Trunk5_bone_x,elephant_Trunk5_bone_y,elephant_Trunk5_bone_z,elephant_Trunk4_bone_x,elephant_Trunk4_bone_y,elephant_Trunk4_bone_z,elephant_Trunk2_bone_x,elephant_Trunk2_bone_y,elephant_Trunk2_bone_z,elephant_Trunk3_bone_x,elephant_Trunk3_bone_y,elephant_Trunk3_bone_z,elephant_Tail2_bone_x,elephant_Tail2_bone_y,elephant_Tail2_bone_z,elephant_l_Femur_bone_x,elephant_l_Femur_bone_y,elephant_l_Femur_bone_z,elephant_r_Femur_bone_x,elephant_r_Femur_bone_y,elephant_r_Femur_bone_z,elephant_r_Tibia_bone_x,elephant_r_Tibia_bone_y,elephant_r_Tibia_bone_z,elephant_l_Tibia_bone_x,elephant_l_Tibia_bone_y,elephant_l_Tibia_bone_z,elephant_Neck_bone_x,elephant_Neck_bone_y,elephant_Neck_bone_z,elephant_l_Ear1_bone_x,elephant_l_Ear1_bone_y,elephant_l_Ear1_bone_z,elephant_Tail1_bone_x,elephant_Tail1_bone_y,elephant_Tail1_bone_z,elephant_Tail4_bone_x,elephant_Tail4_bone_y,elephant_Tail4_bone_z,elephant_Tail5_bone_x,elephant_Tail5_bone_y,elephant_Tail5_bone_z,elephant_Tail3_bone_x,elephant_Tail3_bone_y,elephant_Tail3_bone_z,elephant_r_UpperEyelid_bone_x,elephant_r_UpperEyelid_bone_y,elephant_r_UpperEyelid_bone_z,elephant_r_LowerEyelid_bone_x,elephant_r_LowerEyelid_bone_y,elephant_r_LowerEyelid_bone_z,elephant_r_Ear2_bone_x,elephant_r_Ear2_bone_y,elephant_r_Ear2_bone_z,elephant_r_Scapula_bone_x,elephant_r_Scapula_bone_y,elephant_r_Scapula_bone_z,elephant_r_Ear3_bone_x,elephant_r_Ear3_bone_y,elephant_r_Ear3_bone_z,elephant_r_Ear4_bone_x,elephant_r_Ear4_bone_y,elephant_r_Ear4_bone_z,elephant_l_Humerus_bone_x,elephant_l_Humerus_bone_y,elephant_l_Humerus_bone_z,elephant_r_Radius_bone_x,elephant_r_Radius_bone_y,elephant_r_Radius_bone_z,elephant_l_Radius_bone_x,elephant_l_Radius_bone_y,elephant_l_Radius_bone_z,elephant_r_Paw_bone_x,elephant_r_Paw_bone_y,elephant_r_Paw_bone_z,elephant_r_Eye_bone_x,elephant_r_Eye_bone_y,elephant_r_Eye_bone_z,elephant_r_Toe_bone_x,elephant_r_Toe_bone_y,elephant_r_Toe_bone_z,elephant_l_UpperEyelid_bone_x,elephant_l_UpperEyelid_bone_y,elephant_l_UpperEyelid_bone_z,elephant_l_LowerEyelid_bone_x,elephant_l_LowerEyelid_bone_y,elephant_l_LowerEyelid_bone_z,elephant_l_Ear2_bone_x,elephant_l_Ear2_bone_y,elephant_l_Ear2_bone_z,elephant_l_Scapula_bone_x,elephant_l_Scapula_bone_y,elephant_l_Scapula_bone_z,elephant_l_Ear3_bone_x,elephant_l_Ear3_bone_y,elephant_l_Ear3_bone_z,elephant_l_Ear4_bone_x,elephant_l_Ear4_bone_y,elephant_l_Ear4_bone_z,elephant_l_Paw_bone_x,elephant_l_Paw_bone_y,elephant_l_Paw_bone_z,elephant_l_Eye_bone_x,elephant_l_Eye_bone_y,elephant_l_Eye_bone_z,elephant_l_Toe_bone_x,elephant_l_Toe_bone_y,elephant_l_Toe_bone_z
0.09,-0.0110,2.7985,-4.8297,-0.0022,2.7295,-5.4945,-0.0157,2.4933,-4.5260,0.2991,3.2423,-5.2260,-0.0048,2.3685,-5.3515,-0.0016,2.4525,-5.5794,0.3807,2.0576,-5.8445,0.0000,2.4027,-7.8533,0.0000,2.3944,-7.1828,0.0000,2.4027,-7.8533,0.0000,2.4550,-6.4517,-0.0197,0.7048,-4.4850,-0.0214,0.8852,-4.3340,-0.0214,1.1317,-4.3055,-0.0210,1.4293,-4.2855,-0.0182,2.0812,-4.4012,-0.0203,1.7134,-4.3012,0.0000,2.0317,-8.6827,-0.3805,2.2268,-8.1352,0.3805,2.2268,-8.1352,0.3805,1.3521,-7.9669,-0.3807,1.3522,-7.9665,0.0000,2.5774,-5.8349,-0.3086,3.2435,-5.2342,0.0000,2.2936,-8.5882,0.0000,1.4799,-8.7021,0.0000,1.2180,-8.6997,0.0000,1.7293,-8.7036,0.3884,2.8063,-4.8545,0.3884,2.8063,-4.8545,0.6595,3.2966,-5.6407,0.3805,2.5214,-6.0562,0.9316,3.1984,-5.8892,0.5113,2.7859,-5.4166,-0.3804,2.0574,-5.8448,0.3805,1.4751,-6.1422,-0.3803,1.4751,-6.1429,0.3810,0.3572,-6.0986,0.3884,2.8063,-4.8545,0.3805,0.3087,-8.0608,-0.4096,2.8079,-4.8653,-0.4096,2.8079,-4.8653,-0.6574,3.2991,-5.6585,-0.3805,2.5214,-6.0562,-0.9239,3.2021,-5.9134,-0.5173,2.7879,-5.4306,-0.3805,0.3572,-6.0988,-0.4096,2.8079,-4.8653,-0.3809,0.3087,-8.0599
0.21,-0.0510,2.8106,-4.8357,-0.0101,2.7244,-5.4973,-0.0726,2.5134,-4.5250,0.2812,3.2424,-5.2275,-0.0222,2.3674,-5.3454,-0.0072,2.4454,-5.5750,0.3807,2.0492,-5.8400,0.0000,2.3928,-7.8533,0.0000,2.3824,-7.1829,0.0000,2.3928,-7.8533,0.0000,2.4431,-6.4517,-0.0816,0.7631,-4.5815,-0.0916,0.9176,-4.4044,-0.0939,1.1575,-4.3410,-0.0949,1.4516,-4.2917,-0.0840,2.1047,-4.3900,-0.0927,1.7361,-4.2931,0.0000,2.0316,-8.7063,-0.3805,2.2168,-8.1352,0.3805,2.2168,-8.1352,0.3805,1.3444,-7.9558,-0.3811,1.3446,-7.9547,0.0000,2.5674,-5.8353,-0.3254,3.2468,-5.2655,0.0000,2.2836,-8.5882,0.0000,1.4815,-8.7214,0.0000,1.2202,-8.7045,0.0000,1.7302,-8.7396,0.3493,2.8156,-4.8411,0.3493,2.8156,-4.8411,0.7002,3.2853,-5.5844,0.3805,2.5107,-6.0565,1.0234,3.1820,-5.7584,0.4993,2.7800,-5.3958,-0.3804,2.0489,-5.8406,0.3805,1.4687,-6.1416,-0.3804,1.4685,-6.1423,0.3816,0.3508,-6.0975,0.3493,2.8156,-4.8411,0.3805,0.3021,-8.0611,-0.4473,2.8213,-4.8911,-0.4473,2.8213,-4.8911,-0.6958,3.2953,-5.6720,-0.3805,2.5107,-6.0565,-0.9995,3.1970,-5.8805,-0.5273,2.7874,-5.4602,-0.3805,0.3506,-6.0981,-0.4473,2.8213,-4.8911,-0.3818,0.3022,-8.0591
0.32,-0.1077,2.8362,-4.8481,-0.0215,2.7264,-5.5019,-0.1532,2.5503,-4.5294,0.2543,3.2521,-5.2306,-0.0469,2.3750,-5.3388,-0.0154,2.4448,-5.5693,0.3807,2.0463,-5.8339,0.0000,2.3879,-7.8533,0.0000,2.3744,-7.1829,0.0000,2.3879,-7.8533,0.0000,2.4351,-6.4518,-0.1470,0.8709,-4.7057,-0.1731,0.9849,-4.5016,-0.1852,1.2082,-4.3940,-0.1939,1.4932,-4.3067,-0.1771,2.1466,-4.3816,-0.1933,1.7772,-4.2890,0.0000,2.0428,-8.7359,-0.3805,2.2120,-8.1352,0.3805,2.2120,-8.1352,0.3805,1.3428,-7.9406,-0.3811,1.3431,-7.9392,0.0000,2.5626,-5.8361,-0.3480,3.2583,-5.3110,0.0000,2.2788,-8.5882,0.0000,1.4976,-8.7446,0.0000,1.2381,-8.7093,0.0000,1.7436,-8.7849,0.2920,2.8389,-4.8257,0.2920,2.8389,-4.8257,0.7359,3.2830,-5.4987,0.3805,2.5048,-6.0569,1.0983,3.1789,-5.5554,0.4800,2.7829,-5.3670,-0.3805,2.0462,-5.8342,0.3805,1.4688,-6.1412,-0.3805,1.4690,-6.1422,0.3818,0.3509,-6.0964,0.2920,2.8389,-4.8257,0.3805,0.3021,-8.0613,-0.4991,2.8471,-4.9314,-0.4991,2.8471,-4.9314,-0.7416,3.2983,-5.6961,-0.3805,2.5048,-6.0569,-1.0805,3.2021,-5.8422,-0.5395,2.7934,-5.5032,-0.3805,0.3512,-6.0974,-0.4991,2.8471,-4.9314,-0.3819,0.3023,-8.0588
0.43,-0.1689,2.8628,-4.8668,-0.0339,2.7285,-5.5076,-0.2400,2.5891,-4.5422,0.2233,3.2632,-5.2358,-0.0735,2.3835,-5.3341,-0.0243,2.4445,-5.5639,0.3807,2.0431,-5.8272,0.0000,2.3825,-7.8533,0.0000,2.3646,-7.1830,0.0000,2.3825,-7.8533,0.0000,2.4255,-6.4519,-0.1969,0.9918,-4.8052,-0.2428,1.0649,-4.5864,-0.2714,1.2662,-4.4440,-0.2944,1.5389,-4.3255,-0.2772,2.1912,-4.3818,-0.2992,1.8214,-4.2921,0.0000,2.0552,-8.7610,-0.3805,2.2066,-8.1352,0.3805,2.2066,-8.1352,0.3805,1.3413,-7.9239,-0.3810,1.3417,-7.9225,0.0000,2.5573,-5.8371,-0.3712,3.2679,-5.3620,0.0000,2.2734,-8.5882,0.0000,1.5167,-8.7639,0.0000,1.2596,-8.7143,0.0000,1.7587,-8.8242,0.2280,2.8653,-4.8143,0.2280,2.8653,-4.8143,0.7458,3.2868,-5.4125,0.3805,2.4979,-6.0575,1.1091,3.1913,-5.3468,0.4562,2.7886,-5.3372,-0.3805,2.0609,-5.7949,0.3805,1.4691,-6.1411,-0.3805,1.5252,-6.1703,0.3816,0.3513,-6.0957,0.2280,2.8653,-4.8143,0.3805,0.3027,-8.0612,-0.5528,2.8715,-4.9800,-0.5528,2.8715,-4.9800,-0.7764,3.2990,-5.7356,-0.3805,2.4979,-6.0575,-1.1346,3.2079,-5.8297,-0.5500,2.7967,-5.5508,-0.3805,0.4143,-6.0379,-0.5528,2.8715,-4.9800,-0.3816,0.3029,-8.0586
0.53,-0.2111,2.8803,-4.8835,-0.0426,2.7297,-5.5126,-0.2998,2.6149,-4.5563,0.2007,3.2710,-5.2411,-0.0920,2.3893,-5.3328,-0.0305,2.4445,-5.5611,0.3808,2.0405,-5.8218,0.0000,2.3785,-7.8533,0.0000,2.3558,-7.1832,0.0000,2.3785,-7.8533,0.0000,2.4169,-6.4521,-0.2295,1.0555,-4.8360,-0.2886,1.1117,-4.6154,-0.3291,1.3028,-4.4622,-0.3627,1.5701,-4.3343,-0.3462,2.2212,-4.3883,-0.3718,1.8520,-4.2970,0.0000,2.0594,-8.7710,-0.3805,2.2025,-8.1352,0.3805,2.2025,-8.1352,0.3805,1.3404,-7.9113,-0.3808,1.3407,-7.9100,0.0000,2.5532,-5.8382,-0.3862,3.2728,-5.3988,0.0000,2.2693,-8.5882,0.0000,1.5245,-8.7714,0.0000,1.2676,-8.7207,0.0000,1.7642,-8.8401,0.1823,2.8839,-4.8100,0.1823,2.8839,-4.8100,0.7355,3.2913,-5.3770,0.3805,2.4922,-6.0582,1.0834,3.2064,-5.2461,0.4379,2.7940,-5.3180,-0.3805,2.0730,-5.7681,0.3805,1.4696,-6.1412,-0.3805,1.5863,-6.2052,0.3813,0.3518,-6.0956,0.1823,2.8839,-4.8100,0.3805,0.3035,-8.0608,-0.5885,2.8863,-5.0170,-0.5885,2.8863,-5.0170,-0.7808,3.2959,-5.7842,-0.3805,2.4922,-6.0582,-1.1470,3.2122,-5.8496,-0.5556,2.7971,-5.5848,-0.3805,0.5046,-5.9196,-0.5885,2.8863,-5.0170,-0.3811,0.3036,-8.0581
0.63,-0.2309,2.8875,-4.8931,-0.0467,2.7303,-5.5162,-0.3277,2.6256,-4.5654,0.1897,3.2745,-5.2445,-0.1005,2.3917,-5.3340,-0.0333,2.4445,-5.5613,0.3808,2.0387,-5.8179,0.0000,2.3759,-7.8533,0.0000,2.3481,-7.1834,0.0000,2.3759,-7.8533,0.0000,2.4094,-6.4523,-0.2551,1.0501,-4.8101,-0.3192,1.1154,-4.5934,-0.3620,1.3122,-4.4485,-0.3973,1.5833,-4.3293,-0.3782,2.2336,-4.3944,-0.4066,1.8660,-4.2981,0.0000,2.0443,-8.7555,-0.3805,2.2000,-8.1352,0.3805,2.2000,-8.1352,0.3805,1.3399,-7.9036,-0.3806,1.3402,-7.9025,0.0000,2.5506,-5.8396,-0.3931,3.2744,-5.4168,0.0000,2.2668,-8.5882,0.0000,1.5032,-8.7429,0.0000,1.2429,-8.7140,0.0000,1.7450,-8.8038,0.1606,2.8921,-4.8099,0.1606,2.8921,-4.8099,0.7171,3.2893,-5.4073,0.3805,2.4879,-6.0590,1.0666,3.2084,-5.2779,0.4288,2.7968,-5.3104,-0.3805,2.0692,-5.7681,0.3805,1.4702,-6.1416,-0.3805,1.5963,-6.2201,0.3809,0.3524,-6.0966,0.1606,2.8921,-4.8099,0.3805,0.3040,-8.0604,-0.6048,2.8919,-5.0361,-0.6048,2.8919,-5.0361,-0.7472,3.2891,-5.8401,-0.3805,2.4879,-6.0590,-1.1109,3.2082,-5.9211,-0.5577,2.7966,-5.6019,-0.3805,0.5577,-5.8044,-0.6048,2.8919,-5.0361,-0.3807,0.3042,-8.0584
0.73,-0.2322,2.8806,-4.8932,-0.0470,2.7298,-5.5175,-0.3288,2.6153,-4.5681,0.1878,3.2720,-5.2404,-0.1002,2.3893,-5.3386,-0.0329,2.4445,-5.5654,0.3808,2.0379,-5.8164,0.0000,2.3757,-7.8533,0.0000,2.3427,-7.1836,0.0000,2.3757,-7.8533,0.0000,2.4041,-6.4525,-0.2713,0.9958,-4.7629,-0.3334,1.0832,-4.5536,-0.3711,1.2929,-4.4264,-0.4015,1.5713,-4.3238,-0.3784,2.2216,-4.4010,-0.4081,1.8549,-4.3013,0.0000,2.0193,-8.7161,-0.3805,2.1997,-8.1352,0.3805,2.1997,-8.1352,0.3805,1.3397,-7.9035,-0.3805,1.3400,-7.9022,0.0000,2.5504,-5.8410,-0.3948,3.2721,-5.4133,0.0000,2.2665,-8.5882,0.0000,1.4703,-8.6741,0.0000,1.2087,-8.6844,0.0000,1.7161,-8.7161,0.1592,2.8853,-4.8095,0.1592,2.8853,-4.8095,0.6907,3.2830,-5.4680,0.3805,2.4858,-6.0600,1.0559,3.1931,-5.4050,0.4281,2.7955,-5.3105,-0.3805,2.0656,-5.7714,0.3805,1.4702,-6.1415,-0.3805,1.5922,-6.2228,0.3806,0.3524,-6.0965,0.1592,2.8853,-4.8095,0.3805,0.3040,-8.0613,-0.6060,2.8855,-5.0365,-0.6060,2.8855,-5.0365,-0.6921,3.2833,-5.8783,-0.3805,2.4858,-6.0600,-1.0326,3.1935,-6.0247,-0.5581,2.7957,-5.6032,-0.3805,0.5678,-5.7732,-0.6060,2.8855,-5.0365,-0.3805,0.3043,-8.0597
0.84,-0.2305,2.8602,-4.8880,-0.0467,2.7292,-5.5172,-0.3240,2.5849,-4.5705,0.1855,3.2646,-5.2251,-0.0969,2.3833,-5.3483,-0.0308,2.4456,-5.5736,0.3808,2.0380,-5.8192,0.0000,2.3787,-7.8533,0.0000,2.3400,-7.1839,0.0000,2.3787,-7.8533,0.0000,2.4016,-6.4528,-0.2912,0.9021,-4.6948,-0.3478,1.0220,-4.5005,-0.3760,1.2481,-4.4023,-0.3980,1.5353,-4.3251,-0.3704,2.1861,-4.4149,-0.4006,1.8197,-4.3142,0.0000,2.0071,-8.6810,-0.3805,2.2027,-8.1352,0.3805,2.2027,-8.1352,0.3805,1.3402,-7.9131,-0.3805,1.3401,-7.9135,0.0000,2.5534,-5.8427,-0.3978,3.2658,-5.3957,0.0000,2.2695,-8.5882,0.0000,1.4582,-8.6178,0.0000,1.1999,-8.6608,0.0000,1.7064,-8.6425,0.1612,2.8652,-4.8056,0.1612,2.8652,-4.8056,0.6544,3.2807,-5.5161,0.3805,2.4868,-6.0610,1.0179,3.1760,-5.5646,0.4287,2.7921,-5.3102,-0.3805,2.0705,-5.7668,0.3805,1.4689,-6.1417,-0.3805,1.5966,-6.2177,0.3805,0.3511,-6.0964,0.1612,2.8652,-4.8056,0.3805,0.3030,-8.0610,-0.6049,2.8668,-5.0298,-0.6049,2.8668,-5.0298,-0.6358,3.2834,-5.8935,-0.3805,2.4868,-6.0610,-0.9162,3.1800,-6.1304,-0.5586,2.7941,-5.5990,-0.3805,0.5432,-5.8409,-0.6049,2.8668,-5.0298,-0.3805,0.3030,-8.0618
0.94,-0.2262,2.8333,-4.8804,-0.0460,2.7303,-5.5159,-0.3147,2.5441,-4.5740,0.1835,3.2553,-5.2034,-0.0916,2.3772,-5.3611,-0.0279,2.4494,-5.5841,0.3808,2.0404,-5.8247,0.0000,2.3853,-7.8533,0.0000,2.3411,-7.1842,0.0000,2.3853,-7.8533,0.0000,2.4028,-6.4532,-0.3144,0.7967,-4.6030,-0.3619,0.9528,-4.4336,-0.3777,1.1933,-4.3743,-0.3890,1.4879,-4.3296,-0.3562,2.1388,-4.4346,-0.3865,1.7724,-4.3338,0.0000,2.0139,-8.6813,-0.3805,2.2094,-8.1352,0.3805,2.2094,-8.1352,0.3805,1.3420,-7.9327,-0.3805,1.3417,-7.9341,0.0000,2.5601,-5.8444,-0.4011,3.2580,-5.3696,0.0000,2.2762,-8.5882,0.0000,1.4646,-8.6215,0.0000,1.2040,-8.6472,0.0000,1.7127,-8.6468,0.1660,2.8386,-4.8008,0.1660,2.8386,-4.8008,0.6329,3.2865,-5.5225,0.3805,2.4916,-6.0622,0.9710,3.1780,-5.6616,0.4304,2.7891,-5.3098,-0.3805,2.0721,-5.7725,0.3805,1.4684,-6.1421,-0.3805,1.5753,-6.1981,0.3805,0.3506,-6.0971,0.1660,2.8386,-4.8008,0.3805,0.3022,-8.0603,-0.6017,2.8421,-5.0191,-0.6017,2.8421,-5.0191,-0.6151,3.2922,-5.8774,-0.3805,2.4916,-6.0622,-0.8303,3.1862,-6.1738,-0.5590,2.7936,-5.5912,-0.3805,0.4849,-5.9475,-0.6017,2.8421,-5.0191,-0.3805,0.3019,-8.0625
1.05,-0.2199,2.8014,-4.8730,-0.0449,2.7297,-5.5142,-0.3024,2.4975,-4.5794,0.1821,3.2422,-5.1801,-0.0853,2.3694,-5.3754,-0.0246,2.4524,-5.5954,0.3807,2.0421,-5.8303,0.0000,2.3912,-7.8533,0.0000,2.3415,-7.1846,0.0000,2.3912,-7.8533,0.0000,2.4035,-6.4536,-0.3416,0.6994,-4.4804,-0.3766,0.8905,-4.3478,-0.3780,1.1384,-4.3365,-0.3773,1.4366,-4.3318,-0.3384,2.0860,-4.4580,-0.3688,1.7200,-4.3559,0.0000,2.0255,-8.6964,-0.3805,2.2152,-8.1352,0.3805,2.2152,-8.1352,0.3805,1.3432,-7.9539,-0.3805,1.3428,-7.9556,0.0000,2.5659,-5.8461,-0.4040,3.2462,-5.3406,0.0000,2.2820,-8.5882,0.0000,1.4763,-8.6452,0.0000,1.2199,-8.5915,0.0000,1.7226,-8.6838,0.1730,2.8073,-4.7969,0.1730,2.8073,-4.7969,0.6418,3.2933,-5.4816,0.3805,2.4955,-6.0633,0.9681,3.1927,-5.6514,0.4329,2.7841,-5.3101,-0.3805,2.0583,-5.8011,0.3805,1.4670,-6.1422,-0.3805,1.5166,-6.1678,0.3805,0.3492,-6.0964,0.1730,2.8073,-4.7969,0.3805,0.3010,-8.0604,-0.5968,2.8125,-5.0076,-0.5968,2.8125,-5.0076,-0.6454,3.3020,-5.8339,-0.3805,2.4955,-6.0633,-0.8410,3.2049,-6.1466,-0.5593,2.7908,-5.5817,-0.3805,0.4044,-6.0466,-0.5968,2.8125,-5.0076,-0.3805,0.3005,-8.0615
