time,elephant_Snout_bone_x,elephant_Snout_bone_y,elephant_Snout_bone_z,elephant_Head_bone_x,elephant_Head_bone_y,elephant_Head_bone_z,elephant_Trunk1_bone_x,elephant_Trunk1_bone_y,elephant_Trunk1_bone_z,elephant_r_Ear1_bone_x,elephant_r_Ear1_bone_y,elephant_r_Ear1_bone_z,elephant_Mandible_bone_x,elephant_Mandible_bone_y,elephant_Mandible_bone_z,elephant_Jaw_bone_x,elephant_Jaw_bone_y,elephant_Jaw_bone_z,elephant_r_Humerus_bone_x,elephant_r_Humerus_bone_y,elephant_r_Humerus_bone_z,elephant_Spine1_bone_x,elephant_Spine1_bone_y,elephant_Spine1_bone_z,elephant_Spine2_bone_x,elephant_Spine2_bone_y,elephant_Spine2_bone_z,elephant_Pelvis_bone_x,elephant_Pelvis_bone_y,elephant_Pelvis_bone_z,elephant_Spine3_bone_x,elephant_Spine3_bone_y,elephant_Spine3_bone_z,elephant_Trunk7_bone_x,elephant_Trunk7_bone_y,elephant_Trunk7_bone_z,elephant_Trunk6_bone_x,elephant_Trunk6_bone_y,elephant_Trunk6_bone_z,elephant_Trunk5_bone_x,elephant_Trunk5_bone_y,elephant_Trunk5_bone_z,elephant_Trunk4_bone_x,elephant_Trunk4_bone_y,elephant_Trunk4_bone_z,elephant_Trunk2_bone_x,elephant_Trunk2_bone_y,elephant_Trunk2_bone_z,elephant_Trunk3_bone_x,elephant_Trunk3_bone_y,elephant_Trunk3_bone_z,elephant_Tail2_bone_x,elephant_Tail2_bone_y,elephant_Tail2_bone_z,elephant_l_Femur_bone_x,elephant_l_Femur_bone_y,elephant_l_Femur_bone_z,elephant_r_Femur_bone_x,elephant_r_Femur_bone_y,elephant_r_Femur_bone_z,elephant_r_Tibia_bone_x,elephant_r_Tibia_bone_y,elephant_r_Tibia_bone_z,elephant_l_Tibia_bone_x,elephant_l_Tibia_bone_y,elephant_l_Tibia_bone_z,elephant_Neck_bone_x,elephant_Neck_bone_y,elephant_Neck_bone_z,elephant_l_Ear1_bone_x,elephant_l_Ear1_bone_y,elephant_l_Ear1_bone_z,elephant_Tail1_bone_x,elephant_Tail1_bone_y,elephant_Tail1_bone_z,elephant_Tail4_bone_x,elephant_Tail4_bone_y,elephant_Tail4_bone_z,elephant_Tail5_bone_x,elephant_Tail5_bone_y,elephant_Tail5_bone_z,elephant_Tail3_bone_x,elephant_Tail3_bone_y,elephant_Tail3_bone_z,elephant_r_UpperEyelid_bone_x,elephant_r_UpperEyelid_bone_y,elephant_r_UpperEyelid_bone_z,elephant_r_LowerEyelid_bone_x,elephant_r_LowerEyelid_bone_y,elephant_r_LowerEyelid_bone_z,elephant_r_Ear2_bone_x,elephant_r_Ear2_bone_y,elephant_r_Ear2_bone_z,elephant_r_Scapula_bone_x,elephant_r_Scapula_bone_y,elephant_r_Scapula_bone_z,elephant_r_Ear3_bone_x,elephant_r_Ear3_bone_y,elephant_r_Ear3_bone_z,elephant_r_Ear4_bone_x,elephant_r_Ear4_bone_y,elephant_r_Ear4_bone_z,elephant_l_Humerus_bone_x,elephant_l_Humerus_bone_y,elephant_l_Humerus_bone_z,elephant_r_Radius_bone_x,elephant_r_Radius_bone_y,elephant_r_Radius_bone_z,elephant_l_Radius_bone_x,elephant_l_Radius_bone_y,elephant_l_Radius_bone_z,elephant_r_Paw_bone_x,elephant_r_Paw_bone_y,elephant_r_Paw_bone_z,elephant_r_Eye_bone_x,elephant_r_Eye_bone_y,elephant_r_Eye_bone_z,elephant_r_Toe_bone_x,elephant_r_Toe_bone_y,elephant_r_Toe_bone_z,elephant_l_UpperEyelid_bone_x,elephant_l_UpperEyelid_bone_y,elephant_l_UpperEyelid_bone_z,elephant_l_LowerEyelid_bone_x,elephant_l_LowerEyelid_bone_y,elephant_l_LowerEyelid_bone_z,elephant_l_Ear2_bone_x,elephant_l_Ear2_bone_y,elephant_l_Ear2_bone_z,elephant_l_Scapula_bone_x,elephant_l_Scapula_bone_y,elephant_l_Scapula_bone_z,elephant_l_Ear3_bone_x,elephant_l_Ear3_bone_y,elephant_l_Ear3_bone_z,elephant_l_Ear4_bone_x,elephant_l_Ear4_bone_y,elephant_l_Ear4_bone_z,elephant_l_Paw_bone_x,elephant_l_Paw_bone_y,elephant_l_Paw_bone_z,elephant_l_Eye_bone_x,elephant_l_Eye_bone_y,elephant_l_Eye_bone_z,elephant_l_Toe_bone_x,elephant_l_Toe_bone_y,elephant_l_Toe_bone_z
0.08,-0.0054,2.8013,-4.8290,-0.0011,2.7348,-5.4942,-0.0077,2.4951,-4.5265,0.3015,3.2470,-5.2258,-0.0023,2.3734,-5.3524,-0.0008,2.4582,-5.5800,0.3807,2.0634,-5.8451,0.0000,2.4087,-7.8533,0.0000,2.4007,-7.1828,0.0000,2.4087,-7.8533,0.0000,2.4613,-6.4517,-0.0098,0.7023,-4.4716,-0.0106,0.8860,-4.3246,-0.0105,1.1330,-4.3010,-0.0103,1.4308,-4.2850,-0.0089,2.0825,-4.4031,-0.0099,1.7148,-4.3027,0.0000,2.0367,-8.6797,-0.3805,2.2328,-8.1352,0.3805,2.2328,-8.1352,0.3805,1.3578,-7.9685,-0.3805,1.3579,-7.9683,0.0000,2.5834,-5.8349,-0.3062,3.2476,-5.2298,0.0000,2.2996,-8.5882,0.0000,1.4848,-8.6998,0.0000,1.2229,-8.6991,0.0000,1.7341,-8.6992,0.3939,2.8097,-4.8566,0.3939,2.8097,-4.8566,0.6536,3.3030,-5.6473,0.3805,2.5275,-6.0562,0.9181,3.2059,-5.9043,0.5128,2.7915,-5.4196,-0.3805,2.0633,-5.8454,0.3805,1.4807,-6.1424,-0.3805,1.4807,-6.1429,0.3807,0.3628,-6.0988,0.3939,2.8097,-4.8566,0.3805,0.3143,-8.0606,-0.4042,2.8105,-4.8619,-0.4042,2.8105,-4.8619,-0.6525,3.3043,-5.6560,-0.3805,2.5275,-6.0562,-0.9140,3.2077,-5.9162,-0.5158,2.7925,-5.4264,-0.3805,0.3628,-6.0990,-0.4042,2.8105,-4.8619,-0.3806,0.3143,-8.0602
0.18,-0.0469,2.8087,-4.8350,-0.0093,2.7243,-5.4970,-0.0668,2.5107,-4.5249,0.2830,3.2417,-5.2273,-0.0204,2.3668,-5.3460,-0.0066,2.4455,-5.5754,0.3807,2.0494,-5.8404,0.0000,2.3931,-7.8533,0.0000,2.3830,-7.1829,0.0000,2.3931,-7.8533,0.0000,2.4437,-6.4517,-0.0760,0.7558,-4.5716,-0.0850,0.9132,-4.3970,-0.0868,1.1540,-4.3371,-0.0875,1.4486,-4.2908,-0.0773,2.1016,-4.3910,-0.0854,1.7332,-4.2937,0.0000,2.0308,-8.7039,-0.3805,2.2172,-8.1352,0.3805,2.2172,-8.1352,0.3805,1.3445,-7.9569,-0.3811,1.3447,-7.9559,0.0000,2.5678,-5.8353,-0.3237,3.2458,-5.2623,0.0000,2.2840,-8.5882,0.0000,1.4806,-8.7196,0.0000,1.2191,-8.7041,0.0000,1.7293,-8.7360,0.3533,2.8140,-4.8424,0.3533,2.8140,-4.8424,0.6965,3.2857,-5.5904,0.3805,2.5112,-6.0565,1.0153,3.1828,-5.7726,0.5006,2.7799,-5.3979,-0.3804,2.0491,-5.8410,0.3805,1.4687,-6.1416,-0.3804,1.4685,-6.1424,0.3816,0.3508,-6.0976,0.3533,2.8140,-4.8424,0.3805,0.3021,-8.0611,-0.4435,2.8194,-4.8884,-0.4435,2.8194,-4.8884,-0.6920,3.2951,-5.6706,-0.3805,2.5112,-6.0565,-0.9924,3.1968,-5.8840,-0.5263,2.7869,-5.4572,-0.3805,0.3506,-6.0982,-0.4435,2.8194,-4.8884,-0.3817,0.3022,-8.0591
0.29,-0.0901,2.8284,-4.8437,-0.0179,2.7258,-5.5004,-0.1282,2.5390,-4.5273,0.2628,3.2490,-5.2295,-0.0392,2.3726,-5.3406,-0.0129,2.4450,-5.5710,0.3807,2.0472,-5.8358,0.0000,2.3894,-7.8533,0.0000,2.3769,-7.1829,0.0000,2.3894,-7.8533,0.0000,2.4376,-6.4518,-0.1291,0.8364,-4.6704,-0.1498,0.9629,-4.4732,-0.1582,1.1920,-4.3781,-0.1638,1.4802,-4.3017,-0.1482,2.1337,-4.3833,-0.1624,1.7645,-4.2895,0.0000,2.0392,-8.7273,-0.3805,2.2135,-8.1352,0.3805,2.2135,-8.1352,0.3805,1.3433,-7.9453,-0.3811,1.3436,-7.9439,0.0000,2.5641,-5.8358,-0.3411,3.2550,-5.2968,0.0000,2.2803,-8.5882,0.0000,1.4922,-8.7380,0.0000,1.2321,-8.7079,0.0000,1.7393,-8.7718,0.3100,2.8315,-4.8300,0.3100,2.8315,-4.8300,0.7277,3.2831,-5.5253,0.3805,2.5066,-6.0568,1.0823,3.1784,-5.6186,0.4863,2.7817,-5.3758,-0.3805,2.0469,-5.8364,0.3805,1.4687,-6.1413,-0.3805,1.4685,-6.1421,0.3818,0.3509,-6.0967,0.3100,2.8315,-4.8300,0.3805,0.3021,-8.0613,-0.4832,2.8394,-4.9184,-0.4832,2.8394,-4.9184,-0.7287,3.2976,-5.6876,-0.3805,2.5066,-6.0568,-1.0589,3.2003,-5.8517,-0.5360,2.7919,-5.4897,-0.3805,0.3507,-6.0977,-0.4832,2.8394,-4.9184,-0.3819,0.3022,-8.0589
0.39,-0.1241,2.7593,-4.8370,-0.0256,2.6776,-5.4932,-0.1694,2.4599,-4.5309,0.2361,3.1967,-5.1964,-0.0471,2.3195,-5.3448,-0.0132,2.3992,-5.5718,0.3741,2.0114,-5.8315,0.0000,2.3727,-7.8519,0.0000,2.3555,-7.1816,0.0000,2.3727,-7.8519,0.0000,2.4077,-6.4498,-0.1200,0.8489,-4.7767,-0.1543,0.9198,-4.5551,-0.1781,1.1214,-4.4123,-0.1964,1.4006,-4.3091,-0.1900,2.0543,-4.3880,-0.2011,1.6848,-4.2950,0.0015,2.0282,-8.7387,-0.3814,2.1985,-8.1337,0.3795,2.1932,-8.1329,0.3728,1.3161,-7.9778,-0.3741,1.3460,-7.8761,0.0000,2.5240,-5.8319,-0.3649,3.1954,-5.2866,-0.0001,2.2613,-8.5865,0.0045,1.4843,-8.7399,0.0048,1.2260,-8.6970,0.0029,1.7290,-8.7877,0.2750,2.7681,-4.8079,0.2750,2.7681,-4.8079,0.7250,3.2471,-5.4479,0.3805,2.4702,-6.0538,1.0926,3.1530,-5.4856,0.4726,2.7375,-5.3478,-0.3740,2.0191,-5.8163,0.3633,1.4598,-6.1830,-0.3631,1.4957,-6.2086,0.3645,0.3436,-6.1076,0.2750,2.7681,-4.8079,0.3642,0.2878,-8.1779,-0.5143,2.7665,-4.9263,-0.5143,2.7665,-4.9263,-0.7586,3.2441,-5.6705,-0.3804,2.4702,-6.0537,-1.0974,3.1481,-5.8170,-0.5447,2.7354,-5.5004,-0.3633,0.3838,-6.0855,-0.5143,2.7665,-4.9263,-0.3655,0.3011,-7.9513
0.49,-0.1216,2.6702,-4.7923,-0.0255,2.6209,-5.4520,-0.1606,2.3562,-4.5004,0.2299,3.1295,-5.1326,-0.0407,2.2559,-5.3205,-0.0094,2.3466,-5.5437,0.3674,1.9735,-5.7941,0.0000,2.3633,-7.8191,0.0001,2.3381,-7.1491,0.0000,2.3633,-7.8191,0.0001,2.3775,-6.4165,-0.0612,0.7909,-4.7668,-0.1002,0.8325,-4.5386,-0.1356,1.0172,-4.3768,-0.1652,1.2947,-4.2716,-0.1761,1.9481,-4.3638,-0.1777,1.5790,-4.2689,0.0063,2.0028,-8.6980,-0.3836,2.1905,-8.0986,0.3771,2.1731,-8.0963,0.3639,1.2891,-7.9886,-0.3674,1.3416,-7.8294,0.0002,2.4795,-5.7960,-0.3715,3.1232,-5.2197,-0.0006,2.2395,-8.5517,0.0227,1.4577,-8.7023,0.0251,1.1994,-8.6592,0.0128,1.7032,-8.7444,0.2775,2.6839,-4.7648,0.2775,2.6839,-4.7648,0.7060,3.1997,-5.4031,0.3806,2.4308,-6.0191,1.0725,3.1138,-5.4644,0.4725,2.6816,-5.3065,-0.3670,1.9815,-5.7785,0.3454,1.4585,-6.1969,-0.3480,1.5020,-6.2231,0.3467,0.3413,-6.1395,0.2775,2.6839,-4.7648,0.3467,0.2832,-8.2807,-0.5123,2.6756,-4.8792,-0.5123,2.6756,-4.8792,-0.7526,3.1844,-5.6144,-0.3803,2.4308,-6.0190,-1.0830,3.0910,-5.7803,-0.5455,2.6709,-5.4540,-0.3447,0.4417,-5.8662,-0.5123,2.6756,-4.8792,-0.3483,0.2943,-7.8469
0.59,-0.0901,2.5785,-4.7166,-0.0191,2.5634,-5.3812,-0.1152,2.2499,-4.4396,0.2443,3.0579,-5.0464,-0.0262,2.1922,-5.2678,-0.0042,2.2942,-5.4871,0.3610,1.9337,-5.7348,0.0000,2.3633,-7.7566,0.0002,2.3269,-7.0871,0.0000,2.3633,-7.7566,0.0004,2.3505,-6.3539,0.0383,0.6956,-4.6875,-0.0014,0.7281,-4.4579,-0.0466,0.9072,-4.2923,-0.0887,1.1874,-4.1992,-0.1235,1.8392,-4.3105,-0.1121,1.4706,-4.2142,0.0102,1.9704,-8.6128,-0.3876,2.1923,-8.0318,0.3724,2.1548,-8.0269,0.3540,1.2712,-7.9161,-0.3616,1.3428,-7.7655,0.0005,2.4356,-5.7308,-0.3600,3.0498,-5.1107,-0.0025,2.2174,-8.4852,0.0469,1.4227,-8.6359,0.0599,1.1622,-8.6126,0.0222,1.6702,-8.6535,0.3097,2.5949,-4.7037,0.3097,2.5949,-4.7037,0.6785,3.1491,-5.3748,0.3809,2.3930,-5.9552,1.0258,3.0734,-5.5131,0.4837,2.6218,-5.2518,-0.3592,1.9481,-5.7069,0.3288,1.4609,-6.1857,-0.3319,1.4413,-6.1196,0.3299,0.3421,-6.1890,0.3097,2.5949,-4.7037,0.3297,0.3085,-8.3287,-0.4839,2.5843,-4.7882,-0.4839,2.5843,-4.7882,-0.7176,3.1305,-5.5236,-0.3800,2.3930,-5.9550,-1.0256,3.0460,-5.7319,-0.5391,2.6081,-5.3608,-0.3274,0.4577,-5.5865,-0.4839,2.5843,-4.7882,-0.3310,0.2956,-7.7595
0.69,-0.0404,2.4761,-4.6176,-0.0085,2.4977,-5.2850,-0.0488,2.1327,-4.3581,0.2733,2.9743,-4.9395,-0.0085,2.1208,-5.1920,0.0005,2.2348,-5.4062,0.3545,1.8790,-5.6750,0.0000,2.3701,-7.6682,0.0003,2.3191,-6.9997,0.0000,2.3701,-7.6682,0.0005,2.3222,-6.2661,0.1664,0.5948,-4.6022,0.1285,0.6176,-4.3711,0.0733,0.7894,-4.2007,0.0148,1.0697,-4.1174,-0.0496,1.7191,-4.2384,-0.0236,1.3501,-4.1464,0.0070,1.9337,-8.4941,-0.3944,2.2045,-7.9370,0.3631,2.1327,-7.9272,0.3415,1.2748,-7.6890,-0.3569,1.3471,-7.6984,0.0008,2.3857,-5.6405,-0.3336,2.9670,-4.9688,-0.0076,2.1912,-8.3894,0.0617,1.3873,-8.5430,0.1062,1.1302,-8.5654,0.0205,1.6329,-8.5291,0.3594,2.4936,-4.6272,0.3594,2.4936,-4.6272,0.6521,3.0892,-5.3244,0.3812,2.3509,-5.8663,0.9524,3.0283,-5.5515,0.5009,2.5512,-5.1823,-0.3516,1.9506,-5.5515,0.3133,1.4554,-6.1718,-0.3137,1.3807,-5.8703,0.3137,0.3437,-6.2968,0.3594,2.4936,-4.6272,0.3143,0.3785,-8.2308,-0.4378,2.4840,-4.6657,-0.4378,2.4840,-4.6657,-0.6762,3.0732,-5.3885,-0.3798,2.3509,-5.8660,-0.9517,3.0054,-5.6433,-0.5265,2.5389,-5.2318,-0.3119,0.4091,-5.3157,-0.4378,2.4840,-4.6657,-0.3128,0.3005,-7.6865
0.79,-0.0004,2.3913,-4.5025,-0.0003,2.4416,-5.1691,0.0014,2.0370,-4.2579,0.3009,2.9015,-4.8174,0.0017,2.0610,-5.0925,0.0011,2.1842,-5.3018,0.3482,1.8310,-5.5994,0.0000,2.3772,-7.5569,0.0000,2.3143,-6.8894,0.0000,2.3772,-7.5569,0.0000,2.2993,-6.1559,0.2510,0.5274,-4.5205,0.2181,0.5353,-4.2878,0.1586,0.6957,-4.1080,0.0882,0.9734,-4.0252,0.0036,1.6212,-4.1459,0.0386,1.2514,-4.0606,0.0002,1.9084,-8.3669,-0.4007,2.2175,-7.8199,0.3531,2.1141,-7.8045,0.3298,1.3193,-7.4031,-0.3542,1.3484,-7.6303,0.0000,2.3430,-5.5286,-0.3068,2.8983,-4.8176,-0.0140,2.1689,-8.2700,0.0661,1.3671,-8.4425,0.1428,1.1231,-8.4988,0.0130,1.6085,-8.4098,0.3986,2.4073,-4.5305,0.3986,2.4073,-4.5305,0.6453,3.0332,-5.2283,0.3805,2.3154,-5.7552,0.9034,2.9850,-5.5048,0.5137,2.4883,-5.0888,-0.3473,1.9755,-5.3767,0.3005,1.4433,-6.1241,-0.3001,1.3531,-5.5725,0.3002,0.3511,-6.3661,0.3986,2.4073,-4.5305,0.3008,0.4451,-7.9798,-0.3995,2.4030,-4.5309,-0.3995,2.4030,-4.5309,-0.6522,3.0263,-5.2289,-0.3804,2.3154,-5.7552,-0.9095,2.9753,-5.5056,-0.5149,2.4828,-5.0893,-0.3000,0.3504,-5.0763,-0.3995,2.4030,-4.5309,-0.2995,0.3023,-7.6422
0.90,0.0009,2.3919,-4.3829,0.0007,2.4442,-5.0493,-0.0039,2.0370,-4.1393,0.3117,2.8970,-4.6969,-0.0047,2.0634,-4.9738,-0.0032,2.1872,-5.1828,0.3482,1.8331,-5.4799,0.0000,2.3751,-7.4373,0.0000,2.3141,-6.7696,0.0000,2.3751,-7.4373,0.0000,2.3006,-6.0361,0.2092,0.5204,-4.4009,0.1774,0.5297,-4.1681,0.1225,0.6919,-3.9885,0.0594,0.9716,-3.9062,-0.0098,1.6209,-4.0284,0.0167,1.2506,-3.9423,-0.0009,1.9098,-8.2479,-0.4004,2.2158,-7.7009,0.3536,2.1141,-7.6864,0.3291,1.3728,-7.1933,-0.3551,1.3428,-7.5304,0.0000,2.3457,-5.4089,-0.2959,2.9058,-4.6960,-0.0138,2.1706,-8.1515,0.0613,1.3675,-8.3196,0.1364,1.1227,-8.3748,0.0104,1.6097,-8.2892,0.4001,2.4001,-4.4116,0.4001,2.4001,-4.4116,0.6579,3.0230,-5.1081,0.3804,2.3175,-5.6354,0.9145,2.9704,-5.3853,0.5158,2.4804,-4.9699,-0.3475,1.9998,-5.2381,0.3004,1.4479,-6.0064,-0.3002,1.3737,-5.4217,0.3001,0.3554,-6.2473,0.4001,2.4001,-4.4116,0.2988,0.4496,-7.6875,-0.3979,2.4117,-4.4105,-0.3979,2.4117,-4.4105,-0.6395,3.0419,-5.1062,-0.3805,2.3175,-5.6354,-0.8982,2.9968,-5.3827,-0.5128,2.4954,-4.9684,-0.3003,0.3511,-4.9680,-0.3979,2.4117,-4.4105,-0.3016,0.3030,-7.6463
1.00,0.0024,2.3900,-4.2628,0.0019,2.4528,-4.9283,-0.0096,2.0314,-4.0248,0.3234,2.8931,-4.5695,-0.0117,2.0711,-4.8588,-0.0080,2.1981,-5.0658,0.3481,1.8455,-5.3485,0.0000,2.3637,-7.3174,-0.0001,2.3128,-6.6489,0.0000,2.3637,-7.3174,-0.0002,2.3071,-5.9152,0.1356,0.4998,-4.2831,0.1093,0.5129,-4.0498,0.0667,0.6799,-3.8712,0.0197,0.9635,-3.7917,-0.0244,1.6139,-3.9206,-0.0103,1.2437,-3.8308,-0.0007,1.9178,-8.1320,-0.3976,2.2039,-7.5849,0.3583,2.1171,-7.5743,0.3312,1.4269,-7.0119,-0.3539,1.3256,-7.4434,-0.0002,2.3560,-5.2883,-0.2839,2.9151,-4.5670,-0.0111,2.1793,-8.0371,0.0509,1.3717,-8.1847,0.1128,1.1205,-8.2257,0.0083,1.6166,-8.1653,0.4016,2.3899,-4.2924,0.4016,2.3899,-4.2924,0.6713,3.0180,-4.9796,0.3803,2.3264,-5.5147,0.9261,2.9643,-5.2582,0.5177,2.4765,-4.8496,-0.3481,2.0000,-5.1246,0.3001,1.4714,-5.8829,-0.3006,1.3914,-5.3595,0.2997,0.3708,-6.0840,0.4016,2.3899,-4.2924,0.2984,0.4510,-7.3914,-0.3960,2.4189,-4.2891,-0.3960,2.4189,-4.2891,-0.6253,3.0651,-4.9741,-0.3807,2.3265,-5.5148,-0.8856,3.0300,-5.2506,-0.5103,2.5139,-4.8453,-0.3008,0.3517,-4.9465,-0.3960,2.4189,-4.2891,-0.3019,0.3036,-7.6676
